name,link_id,from_cell_id,to_cell_id,length,lanes,free_speed,capacity,geometry,allowed_uses,number_of_micro_link
,17130,1077,1119,721.8148149332885,,,,"LINESTRING (120.63487356 31.20354404, 120.62751152 31.20815816)",auto;bike;walk,1
,17131,1119,1077,721.8148149332885,,,,"LINESTRING (120.62751152 31.20815816, 120.63487356 31.20354404)",auto;bike;walk,1
,17132,1322,1387,110.46954605751309,,,,"LINESTRING (120.62751152 31.22661465, 120.62751152 31.23122877)",auto;bike;walk,1
,17133,1387,1322,110.46954605751309,,,,"LINESTRING (120.62751152 31.23122877, 120.62751152 31.22661465)",auto;bike;walk,1
,17134,1262,1212,250.81640942778745,,,,"LINESTRING (120.62751152 31.22200053, 120.62751152 31.21738641)",auto;bike;walk,1
,17135,1212,1262,250.81640942778745,,,,"LINESTRING (120.62751152 31.21738641, 120.62751152 31.22200053)",auto;bike;walk,1
,17136,3699,3700,292.1797323141638,,,,"LINESTRING (120.97352764 31.36965241, 120.98088968 31.36965241)",auto;bike;walk,1
,17137,3700,3699,292.1797323141638,,,,"LINESTRING (120.98088968 31.36965241, 120.97352764 31.36965241)",auto;bike;walk,1
,17138,3614,3461,969.4406443829631,,,,"LINESTRING (120.87045901 31.36503829, 120.87045901 31.35581004)",auto;bike;walk,1
,17139,3102,3103,640.6432153328236,,,,"LINESTRING (120.66432174 31.33735356, 120.67168379 31.33735356)",auto;bike;walk,1
,17140,3103,3102,640.6432153328235,,,,"LINESTRING (120.67168379 31.33735356, 120.66432174 31.33735356)",auto;bike;walk,1
