name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,38257,5952107242,,,,,tertiary,0,120.5928653,31.1376307,,,
,38258,5952107243,,,,,tertiary,0,120.5928748,31.1375162,,,
,38259,5952107244,,,,,primary,0,120.5933325,31.1320065,,,
,38260,5952107245,,,,,primary,0,120.5933505,31.13179,,,
,38261,5952107246,,,,,residential,0,120.5934338,31.13077,,,
,38262,5960489832,,,,,primary,0,120.5914897,31.1861488,,,
,38263,5960489833,,,,,primary,0,120.5915004,31.1859676,,,
,38264,5960489834,,,,,trunk,0,120.5947529,31.1862646,,,
,38265,5960489835,,,,,trunk,0,120.5947431,31.186361,,,
,38266,5960489836,,,,,unclassified,0,120.5917482,31.1860205,,,
,38267,5960489837,,,,,unclassified,0,120.5917377,31.1861213,,,
,38268,5960489840,,,,,primary,0,120.6074592,31.2080711,,,
,38269,5960489883,,,,,tertiary,0,120.5882021,31.1842625,,,
,38270,5960489884,,,,,unclassified,0,120.5918957,31.1846015,,,
,38271,5960492485,,,,,secondary,0,120.5967782,31.1849597,,,
,38272,5960492486,,,,,unclassified,0,120.601366,31.1852939,,,
,38273,5960492487,,,,,secondary,0,120.6048181,31.1856059,,,
,38274,5960492489,,,,,unclassified,0,120.5922395,31.1814669,,,
,38275,5960492490,,,,,unclassified,0,120.5920646,31.182976,,,
,38276,5960492491,,,,,unclassified,0,120.5920473,31.183142,,,
,38277,5960492492,,,,,unclassified,0,120.5917559,31.1859458,,,
,38278,5960492493,,,,,unclassified,0,120.5917288,31.1862066,,,
,38279,5960492494,,,,,tertiary,0,120.5913941,31.1894267,,,
,38280,5960492510,,,,,motorway,0,120.6047163,31.2015874,,,
,38281,5960492520,,,,,trunk,0,120.6073626,31.2071544,,,
,38282,5960492521,,,,,trunk,0,120.6069158,31.1996278,,,
,38283,5960492522,,,,,primary,0,120.6066678,31.19911,,,
,38284,5960492555,,,,,motorway,0,120.6085886,31.2018831,,,
,38285,6002083265,,,,,cycleway,0,120.6019221,31.331341,,,
,38286,6002083266,,,,,cycleway,0,120.6019573,31.3307551,,,
,38287,6002083267,,,,,cycleway,0,120.6020033,31.3305666,,,
,38288,6002083275,,,,,tertiary,0,120.6089304,31.3334669,,,
,38289,6002083282,,,,,service,1,120.6096789,31.3342817,,,
,38290,6002083283,,,,,tertiary,0,120.6108687,31.3316155,,,
,38291,6002083284,,,,,tertiary,0,120.610731,31.3315132,,,
,38292,6037218820,,,,,tertiary,0,120.9873486,31.3885287,,,
,38293,6037218821,,,,,residential,0,120.9869009,31.388481,,,
,38294,6037218830,,,,,residential,0,120.9841841,31.3882776,,,
,38295,6037218832,,,,,residential,0,120.9846655,31.3887,,,
,38296,6037218834,,,,,residential,1,120.9832883,31.3886711,,,
,38297,6037218835,,,,,residential,0,120.9868794,31.3882688,,,
,38298,6037218840,,,,,residential,0,120.9843468,31.3877638,,,
,38299,6037218842,,,,,residential,0,120.9869085,31.3876609,,,
,38300,6037218843,,,,,residential,1,120.9871827,31.3876267,,,
,38301,6037218846,,,,,residential,0,120.9843296,31.3875872,,,
,38302,6037218847,,,,,residential,1,120.9835619,31.3875396,,,
,38303,6037218848,,,,,residential,1,120.983374,31.3881577,,,
,38304,6037218850,,,,,residential,1,120.9856208,31.3889002,,,
,38305,6037218851,,,,,tertiary,0,120.9873619,31.3882614,,,
,38306,6037218853,,,,,residential,0,120.9880609,31.3881102,,,
,38307,6037218856,,,,,residential,1,120.9877559,31.3876762,,,
,38308,6037218861,,,,,residential,1,120.9900266,31.3887888,,,
,38309,6037218862,,,,,residential,0,120.9894879,31.3885705,,,
,38310,6037218867,,,,,residential,1,120.9875494,31.3887178,,,
,38311,6037223273,,,,,tertiary,0,120.9939552,31.3934641,,,
,38312,6037223281,,,,,residential,1,120.993445,31.3905002,,,
,38313,6050329699,,,,,service,0,120.6374071,31.2693881,,,
,38314,6050329704,,,,,service,0,120.6375294,31.2685319,,,
,38315,6050329705,,,,,service,1,120.6377769,31.2685339,,,
,38316,6050329706,,,,,service,1,120.6371371,31.2685349,,,
,38317,6050329707,,,,,service,0,120.6375066,31.268768,,,
,38318,6050329710,,,,,service,0,120.6369391,31.2687658,,,
,38319,6050329711,,,,,service,0,120.63748,31.2689895,,,
,38320,6050329714,,,,,service,0,120.6369321,31.2689821,,,
