name,cell_id,element,num_element,activity_type,ctrl_type,node_type,poi_id,x_coord,y_coord,boundary
,5843,4790;32234;32240;32247;32251;32256;32266,7,residential;residential;residential;residential;residential;residential;residential,,,,-111.70140371,33.42042907,"POLYGON ((-111.70339519 33.42139177, -111.69941224 33.42139177, -111.69941224 33.41946636, -111.70339519 33.41946636, -111.70339519 33.42139177))"
,5844,1768;1769;1770;3448;3449;3450;9754,7,residential;residential;residential;residential;residential;residential;residential,,,,-111.69742077,33.42042907,"POLYGON ((-111.69941224 33.42139177, -111.6954293 33.42139177, -111.6954293 33.41946636, -111.69941224 33.41946636, -111.69941224 33.42139177))"
,5845,3086;3087;9755;23176;23177,5,residential;residential;residential;tertiary;tertiary,,,,-111.69343783,33.42042907,"POLYGON ((-111.6954293 33.42139177, -111.69144636 33.42139177, -111.69144636 33.41946636, -111.6954293 33.41946636, -111.6954293 33.42139177))"
,5846,9756;9757;9758;11203;11204;23908;24387;25807;32246;32253;32268;32277,12,residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential,,,,-111.68945489,33.42042907,"POLYGON ((-111.69144636 33.42139177, -111.68746342 33.42139177, -111.68746342 33.41946636, -111.69144636 33.41946636, -111.69144636 33.42139177))"
,5847,4786;4787;4788;9511;9512;9752;9753;32274,8,residential;residential;primary;residential;residential;residential;primary;residential,,,,-111.68547195,33.42042907,"POLYGON ((-111.68746342 33.42139177, -111.68348047 33.42139177, -111.68348047 33.41946636, -111.68746342 33.41946636, -111.68746342 33.42139177))"
,5848,51562;51563;51564;51568;51569,5,residential;residential;residential;residential;residential,,,,-111.681489,33.42042907,"POLYGON ((-111.68348047 33.42139177, -111.67949753 33.42139177, -111.67949753 33.41946636, -111.68348047 33.41946636, -111.68348047 33.42139177))"
,5849,9759,1,tertiary,,,,-111.67352312,33.42042907,"POLYGON ((-111.67551459 33.42139177, -111.67153165 33.42139177, -111.67153165 33.41946636, -111.67551459 33.41946636, -111.67551459 33.42139177))"
,5850,4793,1,residential,,,,-111.66954018,33.42042907,"POLYGON ((-111.67153165 33.42139177, -111.66754871 33.42139177, -111.66754871 33.41946636, -111.67153165 33.41946636, -111.67153165 33.42139177))"
,5851,32801;32803;32804;32805;32806;32807;32808;32809;32811;32812;32813;32814,12,residential;residential;residential;residential;residential;residential;secondary;residential;residential;residential;residential;residential,,,,-111.66555723,33.42042907,"POLYGON ((-111.66754871 33.42139177, -111.66356576 33.42139177, -111.66356576 33.41946636, -111.66754871 33.41946636, -111.66754871 33.42139177))"
,5852,32802;32810;32815;38813;38814;38817;38818;38819;38820;38822;38823;38824,12,residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential;residential,,,,-111.66157429,33.42042907,"POLYGON ((-111.66356576 33.42139177, -111.65958282 33.42139177, -111.65958282 33.41946636, -111.66356576 33.41946636, -111.66356576 33.42139177))"
,5853,4784;17055;25627;38815;38816,5,residential;residential;residential;residential;residential,,,,-111.65759135,33.42042907,"POLYGON ((-111.65958282 33.42139177, -111.65559988 33.42139177, -111.65559988 33.41946636, -111.65958282 33.41946636, -111.65958282 33.42139177))"
,5854,4774;4775;4776;4785;16994;17054;17056;25628,8,residential;residential;residential;residential;residential;residential;residential;residential,,,,-111.65360841,33.42042907,"POLYGON ((-111.65559988 33.42139177, -111.65161694 33.42139177, -111.65161694 33.41946636, -111.65559988 33.41946636, -111.65559988 33.42139177))"
,5855,4777;10849,2,residential;residential,,,,-111.64962547,33.42042907,"POLYGON ((-111.65161694 33.42139177, -111.647634 33.42139177, -111.647634 33.41946636, -111.65161694 33.41946636, -111.65161694 33.42139177))"
,5856,51903,1,residential,,,,-112.02800497,33.42235447,"POLYGON ((-112.02999644 33.42331717, -112.02601349 33.42331717, -112.02601349 33.42139177, -112.02999644 33.42139177, -112.02999644 33.42331717))"
,5857,6382,1,residential,,,,-112.02402202,33.42235447,"POLYGON ((-112.02601349 33.42331717, -112.02203055 33.42331717, -112.02203055 33.42139177, -112.02601349 33.42139177, -112.02601349 33.42331717))"
